工号,1月,2月,3月,一季度总收入
5101,18836,14436,7126,40398
5102,19938,16542,11393,47873
5103,19378,7600,10038,37016
5104,5738,7646,10380,23764
5105,19338,14081,8103,41522
5106,11020,10326,6758,28104
5107,18047,7297,10500,35844
5108,9751,18908,8086,36745
5109,12806,19817,5213,37836
5102,19938,16542,11393,47873
5105,19338,14081,8103,41522
5101,18836,14436,7126,40398
5109,12806,19817,5213,37836
5103,19378,7600,10038,37016
5108,9751,18908,8086,36745
5107,18047,7297,10500,35844
5106,11020,10326,6758,28104
5110,15984,5373,5478,26835
5104,5738,7646,10380,23764
